"customer","product","oct_max","oct_date","nov_min","nov_date","dec_min","dec_date"
"Emily","Eggs",684,"2019-10-03",42,"2018-11-18",30,"2020-12-06"
"Emily","Fish",974,"2019-10-13",115,"2017-11-30",49,"2018-12-21"
"Emily","Grapes",625,"2020-10-01",5,"2017-11-26",18,"2018-12-17"
"Emily","Ham",695,"2020-10-15",19,"2017-11-25",75,"2020-12-20"
"Emily","Ice",773,"2019-10-22",38,"2017-11-21",116,"2020-12-02"
"Emily","Jellies",904,"2018-10-15",92,"2017-11-17",41,"2019-12-10"
"Helen","Apple",885,"2018-10-21",499,"2017-11-21",39,"2018-12-18"
"Helen","Butter",871,"2018-10-29",16,"2019-11-28",7,"2018-12-09"
"Helen","Cherry",589,"2018-10-15",39,"2020-11-04",44,"2020-12-16"
"Helen","Dates",985,"2018-10-22",113,"2017-11-12",181,"2020-12-26"
"Helen","Eggs",1000,"2020-10-24",7,"2019-11-02",268,"2020-12-27"
"Helen","Fish",977,"2019-10-11",9,"2020-11-12",39,"2020-12-30"
"Helen","Grapes",953,"2020-10-18",232,"2016-11-13",189,"2019-12-08"
"Helen","Ham",649,"2019-10-21",61,"2016-11-02",25,"2016-12-24"
"Helen","Ice",892,"2018-10-09",109,"2019-11-12",57,"2020-12-07"
"Helen","Jellies",980,"2018-10-01",83,"2016-11-17",3,"2017-12-17"
"Mia","Apple",479,"2020-10-09",55,"2020-11-11",26,"2018-12-01"
"Mia","Butter",873,"2018-10-20",70,"2018-11-27",236,"2016-12-20"
"Mia","Cherry",725,"2018-10-04",627,"2020-11-26",24,"2017-12-05"
"Mia","Dates",832,"2019-10-25",176,"2018-11-13",56,"2018-12-30"
"Mia","Eggs",725,"2020-10-25",4,"2019-11-06",25,"2016-12-03"
"Mia","Fish",311,"2018-10-21",67,"2019-11-24",83,"2020-12-21"
"Mia","Grapes",647,"2018-10-07",28,"2019-11-08",218,"2018-12-14"
"Mia","Ham",992,"2018-10-27",161,"2017-11-03",44,"2016-12-06"
"Mia","Ice",936,"2018-10-09",156,"2017-11-17",415,"2017-12-25"
"Mia","Jellies",837,"2019-10-01",91,"2016-11-23",288,"2019-12-08"
"Mia","Jellies",837,"2019-10-01",91,"2016-11-23",288,"2018-12-30"
"Sam","Apple",813,"2018-10-13",87,"2020-11-10",94,"2019-12-03"
"Sam","Butter",854,"2019-10-22",134,"2016-11-28",108,"2019-12-15"
"Sam","Cherry",854,"2018-10-19",68,"2018-11-22",97,"2017-12-31"
"Sam","Dates",997,"2019-10-27",312,"2017-11-25",71,"2020-12-19"
"Sam","Eggs",967,"2019-10-06",214,"2017-11-28",36,"2016-12-10"
"Sam","Fish",823,"2018-10-18",34,"2016-11-13",39,"2016-12-11"
"Sam","Grapes",663,"2020-10-24",109,"2017-11-06",71,"2019-12-23"
"Sam","Ham",954,"2018-10-14",47,"2019-11-17",177,"2020-12-28"
"Sam","Ice",318,"2019-10-22",148,"2020-11-03",395,"2019-12-13"
"Sam","Jellies",940,"2020-10-25",255,"2016-11-24",115,"2016-12-04"
"Wally","Apple",948,"2019-10-23",358,"2018-11-06",36,"2017-12-22"
"Wally","Butter",647,"2020-10-24",1,"2020-11-17",34,"2016-12-21"
"Wally","Cherry",779,"2020-10-06",99,"2017-11-27",53,"2017-12-12"
"Wally","Dates",973,"2020-10-11",356,"2019-11-10",116,"2020-12-21"
"Wally","Eggs",979,"2018-10-31",244,"2020-11-13",54,"2019-12-19"
"Wally","Fish",947,"2019-10-02",139,"2018-11-23",19,"2016-12-19"
"Wally","Grapes",987,"2019-10-13",91,"2019-11-15",164,"2020-12-16"
"Wally","Ham",660,"2018-10-27",133,"2019-11-21",402,"2017-12-19"
"Wally","Ice",949,"2019-10-14",15,"2016-11-11",131,"2017-12-26"
"Wally","Jellies",971,"2018-10-08",371,"2017-11-20",298,"2016-12-17"
