"product","customer","ct_avg","ny_avg","nj_avg","pa_avg","average","total","count"
"Ice","Dan",572.4736842105264,531.6774193548387,582.6060606060606,515.3870967741935,548.7894736842105,62562,114
"Ice","Emily",354.85,439.5,503.96,466.037037037037,446.25531914893617,41948,94
"Ice","Helen",422.8709677419355,613.3333333333334,511.9310344827586,467.77777777777777,515.3418803418804,60295,117
"Ice","Mia",442.0,631.15,604.8461538461538,498.0416666666667,534.6930693069307,54004,101
"Ice","Sam",419.27777777777777,545.4074074074074,580.3428571428572,454.7352941176471,509.17543859649123,58046,114
"Ice","Wally",548.5925925925926,459.3636363636364,519.6666666666666,529.0625,515.0697674418604,44296,86
"Jellies","Boo",445.25,479.51612903225805,472.4,460.62857142857143,464.7258064516129,57626,124
"Jellies","Chae",645.875,420.0740740740741,537.5416666666666,504.5263157894737,524.7872340425532,49330,94
"Jellies","Claire",490.04545454545456,506.51612903225805,499.0,531.0833333333334,506.462962962963,54698,108
"Jellies","Dan",582.5652173913044,557.3928571428571,569.2105263157895,509.38709677419354,550.6138613861386,55612,101
"Jellies","Emily",447.9310344827586,424.2,433.7083333333333,465.57142857142856,443.77358490566036,47040,106
"Jellies","Helen",453.56,478.40625,635.6666666666666,459.15625,500.85840707964604,56597,113
"Jellies","Mia",518.375,584.8709677419355,515.2121212121212,512.5,532.1953125,68121,128
"Jellies","Sam",554.1071428571429,566.2258064516129,528.7916666666666,532.9666666666667,546.4424778761062,61748,113
"Jellies","Wally",499.57894736842104,484.0,577.9285714285714,594.7142857142857,544.3563218390805,47359,87
